TIME,SALES1,SALES2,SALES3,SALES4,SALES5,SALES6,SALES7
 06:00~ 07:00,0,0,0,0,0,0,0
 07:00~ 08:00,0,0,0,0,0,0,0
 08:00~ 09:00,0,0,0,0,0,0,0
 09:00~ 10:00,0,0,0,0,0,0,0
 10:00~ 11:00,10200,23300,116700,6500,3800,3600,13500
 11:00~ 12:00,1137000,1592200,3201600,1355200,1140100,1016400,560800
 12:00~ 13:00,2448700,2819200,3292600,2349200,1797800,1154900,786800
 13:00~ 14:00,3460800,3462000,4038400,2743000,2336300,1684100,1297800
 14:00~ 15:00,4512700,5173500,4982700,2912600,2688900,1472900,1284700
 15:00~ 16:00,5390000,5120600,5458700,3170600,2574500,1716900,1197800
 16:00~ 17:00,5863000,5614800,6520600,3561700,3143600,2075200,1631500
 17:00~ 18:00,6365700,5975800,5433600,4336500,3564100,2484300,1588200
 18:00~ 19:00,6296900,6390600,6584900,4132800,3573300,2383300,1803200
 19:00~ 20:00,6309900,5655500,6492100,4425600,3470500,2399100,1851400
 20:00~ 21:00,5467100,5051100,5424000,3886800,3705600,2469100,1765100
 21:00~ 22:00,3023000,3427700,3342500,2698000,2246200,1780800,991600
 22:00~ 23:00,21000,7600,26900,8500,12200,3800,0
 23:00~ 00:00,0,0,0,0,0,0,0
 00:00~ 01:00,0,0,0,0,0,0,0
 01:00~ 02:00,0,0,0,0,0,0,0
 02:00~ 03:00,0,0,0,0,0,0,0
 03:00~ 04:00,0,0,0,0,0,0,0
 04:00~ 05:00,0,0,0,0,0,0,0
 05:00~ 06:00,0,0,0,0,0,0,0
